dataset,tess_size,length_scale,output_variance,zero_boundary,n_recurrence,N,acc_train,acc_test
Adiac,16.0,0.001,0.1,1.0,1.0,0.0,0.6846153846153846,0.6482597635135136
Adiac,16.0,0.001,0.1,1.0,1.0,8.0,0.6820512820512821,0.6458318243243244
Adiac,16.0,0.001,0.1,1.0,5.0,0.0,0.7333333333333333,0.6943906081081082
Adiac,16.0,0.001,0.1,1.0,5.0,8.0,0.7538461538461538,0.7138141216216217
Adiac,16.0,0.001,0.1,0.0,1.0,0.0,0.6743589743589744,0.6385480067567568
Adiac,16.0,0.001,0.1,0.0,1.0,8.0,0.6384615384615384,0.6045568581081081
Adiac,16.0,0.001,0.1,0.0,5.0,0.0,0.7435897435897436,0.704102364864865
Adiac,16.0,0.001,0.1,0.0,5.0,8.0,0.4666666666666667,0.4418849324324325
Adiac,16.0,0.001,0.5,1.0,1.0,0.0,0.6871794871794872,0.6506877027027028
Adiac,16.0,0.001,0.5,1.0,1.0,8.0,0.6794871794871795,0.6434038851351352
Adiac,16.0,0.001,0.5,1.0,5.0,0.0,0.7230769230769231,0.6846788513513514
Adiac,16.0,0.001,0.5,1.0,5.0,8.0,0.7153846153846154,0.6773950337837839
Adiac,16.0,0.001,0.5,0.0,1.0,0.0,0.6692307692307692,0.6336921283783784
Adiac,16.0,0.001,0.5,0.0,1.0,8.0,0.6794871794871795,0.6434038851351352
Adiac,16.0,0.001,0.5,0.0,5.0,0.0,0.7410256410256411,0.7016744256756757
Adiac,16.0,0.001,0.5,0.0,5.0,8.0,0.2769230769230769,0.2622174324324324
Adiac,16.0,0.01,0.1,1.0,1.0,0.0,0.6666666666666666,0.6312641891891893
Adiac,16.0,0.01,0.1,1.0,1.0,8.0,0.6794871794871795,0.6434038851351352
Adiac,16.0,0.01,0.1,1.0,5.0,0.0,0.7333333333333333,0.6943906081081082
Adiac,16.0,0.01,0.1,1.0,5.0,8.0,0.7512820512820513,0.7113861824324325
Adiac,16.0,0.01,0.1,0.0,1.0,0.0,0.6666666666666666,0.6312641891891893
Adiac,16.0,0.01,0.1,0.0,1.0,8.0,0.658974358974359,0.6239803716216217
Adiac,16.0,0.01,0.1,0.0,5.0,0.0,0.7410256410256411,0.7016744256756757
Adiac,16.0,0.01,0.1,0.0,5.0,8.0,0.7076923076923077,0.6701112162162164
Adiac,16.0,0.01,0.5,1.0,1.0,0.0,0.6666666666666666,0.6312641891891893
Adiac,16.0,0.01,0.5,1.0,1.0,8.0,0.676923076923077,0.6409759459459461
Adiac,16.0,0.01,0.5,1.0,5.0,0.0,0.7282051282051282,0.6895347297297297
Adiac,16.0,0.01,0.5,1.0,5.0,8.0,0.7384615384615385,0.6992464864864866
Adiac,16.0,0.01,0.5,0.0,1.0,0.0,0.6512820512820513,0.6166965540540541
Adiac,16.0,0.01,0.5,0.0,1.0,8.0,0.6974358974358974,0.6603994594594594
Adiac,16.0,0.01,0.5,0.0,5.0,0.0,0.7564102564102564,0.7162420608108109
Adiac,16.0,0.01,0.5,0.0,5.0,8.0,0.6974358974358974,0.6603994594594594
Adiac,32.0,0.001,0.1,1.0,1.0,0.0,0.676923076923077,0.6409759459459461
Adiac,32.0,0.001,0.1,1.0,1.0,8.0,0.6717948717948717,0.6361200675675676
Adiac,32.0,0.001,0.1,1.0,5.0,0.0,0.7256410256410256,0.6871067905405406
Adiac,32.0,0.001,0.1,1.0,5.0,8.0,0.7435897435897436,0.704102364864865
Adiac,32.0,0.001,0.1,0.0,1.0,0.0,0.6666666666666666,0.6312641891891893
Adiac,32.0,0.001,0.1,0.0,1.0,8.0,0.6615384615384615,0.6264083108108108
Adiac,32.0,0.001,0.1,0.0,5.0,0.0,0.7564102564102564,0.7162420608108109
Adiac,32.0,0.001,0.1,0.0,5.0,8.0,0.735897435897436,0.6968185472972974
Adiac,32.0,0.001,0.5,1.0,1.0,0.0,0.6717948717948717,0.6361200675675676
Adiac,32.0,0.001,0.5,1.0,1.0,8.0,0.6564102564102564,0.6215524324324325
Adiac,32.0,0.001,0.5,1.0,5.0,0.0,0.7153846153846154,0.6773950337837839
